Population,North_Sea,Atlantic,Baltic,Eastern_Euro,West_Med,West_Asian,East_Med,Red_Sea,South_Asian,Southeast_Asian,Siberian,Amerindian,Oceanian,Northeast_African,Sub-Saharan
Abhkasian,3.11,3.01,3.08,2.89,4.25,57.83,18.64,2.36,2.62,0.73,0.81,0.27,0.24,0.11,0.06
Adygei,5.33,5.84,6.82,7.85,2.64,48.75,13.72,2.27,3.01,0.86,2.01,0.64,0.09,0.11,0.05
Afghan_Hazara,5.42,3.05,2.36,8.32,0.19,18.67,6.07,0.73,14.86,17.41,20.23,2.08,0.24,0.08,0.3
Afghan_Pashtun,7.21,2.94,2.58,12.28,0,32.65,8.3,0.49,27.3,1.04,3.12,1.19,0.31,0.05,0.53
Afghan_Tadjik,6.69,0.81,2.21,10.13,1.16,27.53,11.07,0.65,20.18,6.95,10.32,1.35,0.12,0.28,0.54
Afghan_Turkmen,5.96,3.18,4.34,12.09,1.54,18.62,8.3,0.19,8.87,10.33,23.88,1.28,0.61,0.21,0.6
Afghan_Uzbeki,5.64,1.41,3.12,10.13,0.44,26.13,11.81,1.45,20.86,7.11,10.35,0.75,0.35,0.21,0.25
Algerian,4.18,8.75,0.98,0.51,21.32,0.93,25.13,15.47,0.2,0.24,0.04,0.12,0.18,11.84,10.12
Algerian_Jewish,5.28,12.72,2.56,1.35,18.76,10.72,34.79,8.15,0.53,0.36,0.21,0,0.37,2.39,1.81
Altaian,2.97,1.94,2.03,10.94,0.52,4.57,0.56,0.34,3.2,21.66,47.49,3.09,0.46,0.05,0.18
Anzick-1,0.02,0.01,0.03,2.6,0.54,0,0,0.01,0.04,1.27,4.03,90.98,0.47,0,0
Armenian,4.05,2.34,1.06,2.01,8.8,37.25,35.14,5.12,3.39,0.17,0.06,0.06,0.33,0.17,0.06
Ashkenazi,9.89,10.7,6.74,5.17,14.82,13.05,26.61,8.07,1.2,0.6,0.58,0.32,0.24,1.63,0.39
Assyrian,2.59,2.38,1.97,2,7.53,30.95,39.98,7.81,3.61,0.31,0.2,0.17,0.12,0.33,0.05
Austrian,20.59,23.17,18.31,13.24,8.86,6.16,7.21,1.25,0.73,0.03,0.12,0.04,0.13,0.11,0.04
Austroasiatic_Ho,0.01,0.01,0.01,0.01,0.02,0,0,0.01,68.94,25.12,0.61,0.19,4.26,0.36,0.45
Azeri,3.28,5.34,1.79,5.86,3.62,31.5,29.44,5.36,7.9,1.89,2.65,0.39,0.39,0.35,0.25
Balkar,5.21,5.55,6.31,7.52,4.29,46.93,10.93,1.38,2.66,2.69,4.98,0.86,0.39,0.14,0.16
Balochi,2.99,1.37,1.23,10.31,0.18,34.33,14.62,1.86,31.78,0,0.09,0.36,0.02,0.23,0.63
Bangladeshi,1.79,1.86,1.37,6.22,0.7,11.94,1.13,0.5,60.79,8.83,2.2,0.72,1.56,0.1,0.3
Bantu_N.E.,0.06,0.06,0.07,0.08,0.08,0.09,0.15,0.34,0.14,0.22,0.13,0.17,0.12,23.89,74.4
Bantu_S.E.,0.02,0.02,0.01,0.03,0.01,0.03,0.02,0.03,0.06,0.07,0.06,0.03,0.09,13.6,85.92
Bantu_S.W.,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.06,0.06,0.06,0.06,0.04,0.14,11.83,87.51
Bedouin,1.51,2.9,1.66,1.2,7.74,13.01,38.46,21.03,1.61,0.2,0.41,0.28,0.23,6.95,2.82
Belorussian,19.33,17.63,32.02,21.25,3.39,2.48,1.8,0.89,0.48,0.08,0.21,0.1,0.17,0.1,0.06
Biaka_Pygmy,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.08,18.63,81.25
Brahmin_UP,4.96,4.47,2.91,8.83,0.38,15.62,0.9,0.18,58.12,0.56,0.54,1.54,0.61,0.17,0.21
Brahui,2.47,0.65,0.77,9.27,0.06,34.45,15.33,1.97,32.42,0.04,0.26,0.42,0.15,0.6,1.13
Bulgarian,12.88,15.88,16.38,9.34,13.76,11.88,16.27,2.18,0.26,0.17,0.14,0.3,0.28,0.18,0.11
Burusho,2.29,0.7,1.31,14.77,0.04,27.77,1.04,0.09,39.24,4.45,5.4,2.04,0.27,0.19,0.4
Buryat,0.66,0.85,0.98,2.99,0.91,3.22,1.14,0.87,1.25,27.19,57.88,1.54,0.31,0.15,0.06
Cambodian,0.23,0.29,0.53,0.28,0.36,0.29,0.29,0.29,14.32,77.57,1.08,0.43,3.17,0.48,0.39
Central_Greek,10.06,13.12,7.23,3.39,17.29,15.74,26.95,5.24,0.16,0.21,0.04,0.12,0.43,0.02,0
Chamar,0.82,1.4,1.5,1.9,0.89,5.39,0.74,0.75,80.17,1.82,1.53,1.17,1.35,0.37,0.2
Chechen,8.87,6.06,6.57,10.36,1.59,47.63,8.83,1.46,4.25,0.77,1.19,1.22,0.76,0.3,0.13
Chenchu,0.88,1.05,1.05,0.63,1.55,7.33,1.23,0.6,74.08,6.26,1.93,0.85,1.78,0.42,0.35
Chukchi,0.08,0.04,0.07,4.43,0,0.03,0,0,1.07,9.5,59.87,24.26,0.62,0,0.02
Chuvash,13.39,5.79,13.51,36.15,0.88,3.35,0.88,0.53,1.97,2.49,17.74,2.43,0.44,0.19,0.26
Croatian,18.41,17.52,22.74,15.17,10.17,6.69,6.25,1.29,0.72,0.02,0.02,0.44,0.24,0.16,0.16
Cyprian,2.08,7.08,3.11,1.81,16,19.6,40.16,8.38,0.52,0.05,0.09,0.01,0.28,0.49,0.35
Dai,0.17,0.17,0.29,0.29,0.12,0.2,0.15,0.07,2.7,91.41,2.02,0.57,1.47,0.17,0.2
Danish,36.57,27.76,11.59,10.71,5.99,3.34,2.04,0.29,1.03,0.08,0.09,0.19,0.07,0.19,0.07
Dharkar,2,2.29,2.57,3.97,1.03,11.97,1.37,0.26,68.92,1.61,1.55,0.87,0.78,0.57,0.24
Dolgan,2.07,0.84,3.13,3.92,0.56,0.57,0.22,0.21,1.65,9.47,74.92,1.43,0.4,0.38,0.22
Dusadh,1.44,0.68,0.87,2.13,1.25,9.12,2.16,1.06,74.95,2.78,0.6,0.59,1.54,0.31,0.52
East_Finnish,25.2,15.64,21.87,23.75,2.22,0.76,0.19,0.2,1.02,0.66,7.08,0.73,0.56,0.03,0.08
East_German,26.64,21.71,18.07,13.28,10.36,5.16,2.8,1.02,0.57,0.02,0.05,0.15,0.02,0.09,0.04
East_Greenlander,0.18,0.02,0.12,4.19,0,0.04,0.01,0.02,1.46,8.57,43.23,41.76,0.33,0.02,0.05
East_Sicilian,9.75,13.27,6.39,2.26,17.36,14.43,26.95,6.76,0.52,0.03,0,0.06,0.25,1.6,0.36
Egyptian,0.9,3.78,0.69,0.28,9.89,7.14,39.22,18.38,0.24,0.13,0.2,0.06,0.16,12.85,6.09
Erzya,16.81,10.25,27.66,29.07,2.72,3.63,1.14,0.34,1.23,0.51,5.13,1.22,0.03,0.13,0.13
Estonian,26.23,16.33,30.12,20.68,1.83,0.56,0.01,0,0.53,0.02,2.13,1.09,0.46,0,0
Estonian_Polish,18.34,17.71,31.21,22.5,4.43,2.06,0.85,1.02,0.75,0.1,0.36,0.35,0.16,0.13,0.03
Ethiopian_Amhara,0.08,0.51,0.09,0.04,1.27,0.34,18.47,24.18,0.08,0.11,0.03,0.11,0.16,50.19,4.33
Ethiopian_Anuak,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0,0.02,53.49,46.45
Ethiopian_Ari_cultivator,0.44,0.32,0.32,0.4,0.37,1.19,0.72,5.18,1.3,0.33,0.4,0.23,0.4,78.17,10.23
Ethiopian_Gumuz,0,0,0,0,0,0,0,0.01,0.1,0.14,0.09,0.04,0.18,67.39,32.05
Ethiopian_Oromo,0.08,0.32,0.15,0.04,1.21,0.34,12.56,18.22,0.1,0.58,0.02,0.07,0.12,58.21,7.98
Ethiopian_Tigray,0.09,0.49,0.15,0.04,2.25,0.24,20.45,24.26,0.03,0.01,0.02,0.01,0.21,48.97,2.79
Ethiopian_Wolayta,0.4,0.65,0.13,0.11,0.88,0.44,9.49,16.73,0.27,0.39,0.25,0.18,0.16,62.8,7.12
Evenki,0.43,0.65,1.79,1.46,0.29,0.45,0.29,0.27,0.75,12.14,78.75,1.46,1,0.13,0.14
Evens,0.66,0.45,0.65,1,0.66,0.53,0.41,0.32,0.72,10.43,80.67,2.5,0.65,0.23,0.12
Finnish,29.36,17.42,21.95,18.78,2.49,1.06,0.36,0.14,0.57,0.9,5.3,0.91,0.52,0.14,0.1
French,28.25,26.05,8.22,6.32,15.53,4.66,6.72,2.83,0.71,0.09,0.09,0.2,0.15,0.11,0.07
French_Basque,16.85,45.4,4.79,2.82,25.04,0.83,2.74,0.73,0.13,0.28,0.04,0.03,0.1,0.17,0.04
Georgian,4.68,3.9,3.69,3.27,4.64,53.84,19.63,3.24,2.12,0.16,0.23,0.34,0.08,0.13,0.05
Georgian_Jewish,2.27,2.67,1.63,2.91,6.95,35.22,36.66,8.06,2.77,0.17,0.1,0.16,0.11,0.29,0.04
Greek,8.81,15.49,11.7,6.91,17.16,12.72,23.47,2.73,0.41,0.05,0.01,0.03,0.36,0.11,0.02
Greek_Thessaly,14,11.56,11.5,5.16,17.47,12.02,22.23,4.01,1.2,0.03,0.08,0.42,0.22,0.08,0.01
Gujarati,4.7,1.61,2.04,8.13,0.23,18.18,1.61,0.28,60.87,0.43,0.9,0.31,0.37,0.12,0.22
Hadza,0.09,0.06,0.09,0.1,0.02,0.1,0.04,0.09,1.18,0.2,0.26,0.22,0.62,62.24,34.69
Hakas,4.41,1.05,2.04,18.58,0.3,5.06,0.16,0.12,3.45,17.21,43.45,3.67,0.19,0.15,0.16
Hazara,2.66,2.06,3.26,8.51,0.65,17.69,3.9,0.75,13.54,20.75,23.51,1.95,0.39,0.21,0.16
Hezhen,0.08,0.14,0.07,0.22,0.1,0.18,0.11,0.15,0.61,55.91,39.88,1.84,0.55,0.09,0.07
Hungarian,24.08,17.29,20.04,12.73,9.49,5.87,7.04,1.23,0.72,0.13,0.38,0.68,0.08,0.21,0.04
Iranian,1.97,2.3,2.03,5.75,1.52,33.88,31.2,7.33,11.04,0.09,0.94,0.23,0.19,0.44,1.09
Iranian_Jewish,0.65,2.04,1.91,1.72,5.93,27.46,43.16,9.8,6.11,0,0.13,0,0.24,0.75,0.1
Irish,36.38,30.66,11.15,8.12,6.98,3.34,1.24,0.67,0.55,0.05,0.05,0.6,0.1,0.07,0.04
Italian_Abruzzo,11.72,17.17,5.53,3.27,16.14,15.02,25.05,5.25,0.13,0.17,0.1,0.06,0.28,0.08,0.03
Italian_Jewish,8.1,12.62,2.23,1.13,17.84,12.08,33.85,8.25,0.07,0.65,0.21,0.08,0.75,2.14,0.01
Japanese,0.06,0.05,0.06,0.11,0.06,0.07,0.08,0.07,0.78,66.69,28.55,1.82,0.95,0.3,0.35
Jordanian,2,3.09,1.41,1.35,8.08,15.88,41.4,14.64,1.49,0.27,0.17,0.35,0.37,7.07,2.43
Kabardin,5.68,6.15,7.32,8.66,2.95,46.12,11.01,1.72,2.9,1.67,4.72,0.62,0.1,0.15,0.23
Kalash,5.71,1.38,2.72,14.53,0.04,33.74,2.38,0.06,36.92,0.07,0.52,1.49,0.11,0.07,0.25
Kanjar,1.51,2.51,2.44,6.06,0.26,11.47,0.63,0.17,70.46,1.57,0.69,0.67,0.91,0.4,0.25
Kargopol_Russian,18.59,13.89,25.58,26.79,2.93,2.39,0.74,0.11,1.71,0.36,4.92,1.39,0.17,0.24,0.18
Karitiana,0.01,0,0.01,0.01,0,0.01,0,0,0.03,0.2,0.17,99.55,0.01,0,0
Ket,2.39,0.71,2.28,23.59,0,0.33,0,0,3.21,3.81,56.02,7.36,0.3,0,0
Kol,3.17,1.19,1.32,3.7,1.58,8.82,0.92,0.23,74.04,1.89,1,0.97,0.59,0.37,0.21
Koryak,0.15,0.07,0.18,4.37,0,0.06,0,0.01,0.93,11.27,65.59,17.1,0.22,0.02,0.03
Kshatriya,3.02,2.65,2.66,7.85,0.34,16.4,1.36,0.21,61.61,0.6,0.94,1.2,0.59,0.31,0.27
Kumyk,7.79,4.67,5.88,8.23,2.96,41.68,15.82,2.26,4.36,1.55,2.74,1.3,0.35,0.22,0.18
Kurdish,1.93,3.66,2.32,5.79,3.06,34.9,32.41,5.15,8.92,0.21,0.6,0.36,0.15,0.43,0.1
Kurdish_Jewish,1.71,1.32,0.07,1.83,7.55,27.82,44.14,10.37,4.07,0.37,0.01,0.09,0.15,0.5,0
Kurumba,0.93,0.87,0.59,1.5,0.79,12.28,2.19,0.75,74.28,1.51,1.53,0.37,1.49,0.53,0.39
La_Brana-1,23.97,21.26,24.51,14.51,0,0,0,0,0,8.8,1.44,0.68,4.84,0,0
Lahu,0.11,0.25,0.13,0.24,0.17,0.1,0.16,0.14,3.75,82.78,9.22,0.83,1.5,0.41,0.21
Lebanese_Christian,1.49,2.78,1.14,0.71,11.81,20.2,47.37,12.34,0.77,0.23,0.08,0.03,0.13,0.87,0.05
Lebanese_Druze,3.47,3.98,1.43,1.52,7.87,19.12,50.08,9.23,1.53,0.21,0.23,0.04,0.35,0.71,0.23
Lebanese_Muslim,2.43,5.62,2.09,1.22,9.76,22.26,39.85,10.71,2.1,0.12,0.09,0.04,0.54,2.33,0.83
Lezgin,10.34,4.14,5.47,14,0.51,44.24,13.12,0.89,4.92,0.38,0.71,0.82,0.23,0.12,0.1
Libyan_Jewish,8.07,6.36,0.95,0.2,16.55,10.89,37.89,10.89,0.6,0.01,0,0.33,0.49,5.95,0.83
Lithuanian,20.15,15.72,36.36,21.18,2.5,1.63,0.61,0.34,0.61,0.06,0.13,0.36,0.19,0.11,0.06
Luhya,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.08,0.1,0.05,0.03,0.17,23.69,75.58
MA-1,2.9,0,4.11,34.45,0,0.01,0,0,28.61,0,4.61,21.16,3.37,0.79,0
Maasai,0.23,0.27,0.14,0.15,0.51,0.34,0.8,8.85,0.11,0.09,0.09,0.05,0.42,54.47,33.48
Makrani,2.34,0.48,0.68,7.45,0.19,33.19,18.72,2.59,30.01,0,0.05,0.26,0.24,1.11,2.69
Malay,0.32,0.46,0.57,0.48,0.18,0.29,0.22,0.14,16.22,74.13,0.54,0.6,5.1,0.38,0.37
Mandenka,0.15,0.23,0.16,0.2,0.28,0.14,0.29,0.77,0.18,0.11,0.12,0.1,0.18,6.79,90.3
Mari,11.36,4.78,11.39,38.39,0.23,1.36,0.23,0.09,3.86,0.8,23.79,2.83,0.28,0.1,0.51
Mayan,1.21,1.42,0.52,1.21,2.75,0.3,0.37,0.33,0.26,1.27,2.19,85.92,0.28,0.48,1.49
Mbuti_Pygmy,0,0,0,0,0,0,0,0,0,0.01,0,0,0.05,29.17,70.77
Miaozu,0.05,0.06,0.06,0.08,0.05,0.1,0.06,0.05,0.59,83.65,13.7,0.65,0.75,0.09,0.06
Moldavian,18.5,13.4,21.14,15.16,10.88,8.55,7.43,1.48,1.1,0.24,0.56,0.56,0.61,0.08,0.31
Mongolian,2.39,1.13,0.96,5.69,1.14,4.39,1.53,0.65,1.62,31.13,46.94,1.74,0.51,0.11,0.08
Moroccan,2.23,9.5,0.52,0.43,24.21,0.21,22.46,17.47,0.04,0.41,0.04,0.03,0.16,13.79,8.49
Mozabite_Berber,1.2,11.89,0.42,0.2,23.64,0.24,22.64,15.62,0.02,0.25,0.04,0.01,0.07,12.15,11.62
NAN_Melanesian,0.08,0.08,0.21,0.07,0.07,0.09,0.09,0.12,5.74,22.48,1,0.29,68.94,0.34,0.4
Naxi,0.09,0.08,0.09,0.16,0.07,0.11,0.07,0.11,2.48,70.74,24.27,0.36,0.98,0.18,0.21
Nogay,6.77,6.39,6.21,9.43,3.35,30.63,7.53,0.99,3.43,8.58,14.39,1.28,0.46,0.38,0.18
North_Amerindian,0.27,0.09,0.3,2.27,0.01,0.07,0.01,0.07,1.7,5.08,20.17,69.8,0.11,0.03,0.02
North_Dutch,37.62,27.09,12.32,9.19,6.8,3.69,1.51,0.77,0.37,0.04,0.08,0.21,0.2,0.08,0.04
North_German,33.08,27.46,13.41,9.95,6.11,5.24,2.5,0.7,0.83,0.02,0.08,0.22,0.14,0.19,0.08
North_Italian,17.15,23.6,7.11,3.72,21.63,7.02,15.83,3.17,0.36,0.15,0.06,0.03,0.08,0.07,0.03
North_Kannadi,0.61,1.18,2.08,4.64,0.52,7.9,1.01,0.3,75.14,2.13,1.52,0.63,1.45,0.43,0.46
North_Ossetian,5.32,6.18,8.13,5.15,2.33,51.03,11.04,1.57,2.31,1.63,4.18,0.72,0.19,0.14,0.08
North_Swedish,36.66,21,15.78,15.37,4.02,1.35,0.68,0.34,0.69,0.55,2.21,0.64,0.62,0.07,0.03
Norwegian,39.73,23.47,13.26,11.48,6.36,2.24,0.8,0.14,0.81,0.08,0.5,0.72,0.32,0.06,0.04
Orcadian,39.61,29.01,8.61,8.08,7.37,3.67,0.65,0.23,1.05,0.05,0.45,0.24,0.42,0.06,0.52
Oroqen,0.07,0.07,0.1,0.34,0.09,0.08,0.07,0.05,0.38,27.92,68.96,1.5,0.25,0.07,0.05
Ossetian,6.87,5.42,3.3,5.87,3.9,50.53,11.77,2.12,3.36,2.2,4,0.41,0.12,0.13,0.01
Palestinian,1.87,4.13,1.14,1.07,8.23,14.38,44.69,15.78,1.52,0.23,0.14,0.2,0.09,5.12,1.42
Papuan,0.03,0.03,0.03,0.05,0.03,0.04,0.04,0.08,1.92,1.87,0.56,0.25,94.65,0.19,0.23
Pathan,4.68,1.09,3.02,11.66,0.25,27.89,6.04,0.46,41.29,0.25,1.44,1.5,0.1,0.09,0.25
Pima,0.71,0.31,0.48,1.47,0.26,0.24,0.24,0.15,0.72,1.48,4.82,88.74,0.25,0.05,0.08
Piramalai,0.58,0.59,0.75,1.44,0.26,9.78,1.78,0.85,78.68,1.4,0.6,0.66,1.68,0.67,0.28
Polish,21.75,18.55,28.01,19.9,5.58,2.87,1.44,0.67,0.34,0,0,0.29,0.05,0.3,0.24
Portuguese,21.61,26.61,5.71,3.71,21.63,2.65,10.21,3.55,0.45,0.13,0.15,0.28,0.41,2.06,0.85
Punjabi_Jat,7.51,2.35,3.73,11.6,0.15,24.66,2.46,0.5,45.44,0.07,0.2,0.85,0.16,0.1,0.23
Romanian,15.88,15.98,16.1,10.04,12.48,11.43,14.13,2.5,0.5,0.12,0.26,0.31,0.07,0.14,0.05
Russian_Smolensk,18.01,18.2,29.95,20.42,4.42,4.38,2.03,0.77,0.83,0.03,0.35,0.26,0.17,0.12,0.06
Sakilli,0.5,0.76,0.62,1.05,1.19,5.52,1.21,1.34,80.24,3.25,0.45,0.18,2.29,0.77,0.63
Samaritan,1.11,3.28,1.59,0.36,13.52,17.2,45.51,13.84,0.92,0.07,0.07,0.01,0.17,2.32,0.03
San,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.05,0.02,0.01,0.01,0.16,39.35,60.29
Sandawe,0.54,0.56,0.34,0.37,1.18,0.83,1.59,3.55,0.37,0.28,0.12,0.09,0.44,51.87,37.87
Saqqaq,1.51,0.01,2.75,8.84,0,0.04,0.02,0,5.19,11.81,58.09,6.95,4.1,0.43,0.26
Sardinian,5.54,21.19,3.23,0.15,48.23,1.01,17.48,2.56,0,0,0.03,0,0.32,0.2,0.05
Saudi,0.59,0.82,0.31,0.66,4.75,8.31,44.04,34.07,1.42,0.21,0.11,0.1,0.17,4.14,0.31
Selkup,1.95,0.79,1.77,28.17,0,0.69,0.01,0,1.89,1.27,57.53,5.55,0.35,0.01,0.02
Sephardic_Jewish,5.29,14.02,2.36,1.42,16.21,13.51,33.88,9.68,0.74,0.27,0.38,0,0.24,1.56,0.43
Serbian,18.84,17.28,15.16,12.76,11.74,8.44,12.18,2.6,0.34,0.15,0.16,0.02,0.13,0.15,0.05
She,0.04,0.06,0.04,0.08,0.05,0.07,0.05,0.07,0.35,85.67,12.87,0.35,0.15,0.08,0.07
Shors,5.62,1.44,1.67,22.58,0.03,4.03,0.11,0.04,4.42,13.62,40.67,5.31,0.19,0.05,0.22
Sindhi,3.47,1.33,1.42,8.24,0.1,27.16,7.12,0.5,47.96,0.1,0.38,1.1,0.25,0.33,0.53
Somali,0.1,0.16,0.06,0.04,1.95,0.12,7.86,22.22,0.01,0.09,0.09,0.07,0.06,59.51,7.66
South_Dutch,29.95,26.93,10.5,9.05,11.43,4.74,4.52,1.4,0.67,0.12,0.32,0.15,0.04,0.11,0.06
South_Italian,8.45,13.95,5.7,0.82,18.42,15.37,29.86,5.33,0.5,0.02,0.17,0.32,0.09,0.57,0.43
South_Polish,21.68,16.99,27,18,6.75,4.82,2.72,0.62,0.66,0.13,0.2,0.1,0.12,0.12,0.09
Southeast_English,35.52,29.86,9.89,8.36,8.77,3.35,2.5,0.33,0.58,0.03,0.05,0.35,0.31,0.06,0.03
Southwest_English,35.22,28.94,9.69,8.02,11.16,3.55,1.82,0.59,0.54,0.05,0.03,0.07,0.19,0.11,0.03
Southwest_Finnish,29.33,21.56,20.5,17.93,3.52,1,0.45,0.18,0.48,0.14,3.66,1.01,0.18,0.04,0.03
Southwest_French,18.23,33.82,8.51,5.22,23.54,1.68,6.12,1.97,0.21,0.04,0.21,0.38,0.02,0.05,0
Southwest_Russian,18.45,15.4,29.69,22.51,3.45,4.85,2.54,0.39,0.54,0.1,0.83,0.6,0.3,0.18,0.16
Spanish_Andalucia,15.69,31.45,5.58,2.99,23.21,3.99,11.3,2.49,0.48,0.18,0.46,0.04,0.31,1.32,0.52
Spanish_Aragon,18.12,35.04,5.17,2.95,23.35,2,8.96,2.85,0.27,0.15,0.16,0.22,0.21,0.47,0.08
Spanish_Cantabria,19.95,32.02,5.93,4.22,23.95,2.17,6.59,2.68,0.31,0.04,0.07,0.26,0.3,0.91,0.61
Spanish_Castilla_La_Mancha,17.84,33.09,4.72,3.46,22.53,3.48,9.32,3.19,0.3,0.11,0.08,0.13,0.06,1.4,0.28
Spanish_Castilla_Y_Leon,20.52,29.84,7.19,2.38,20.82,2.77,9.35,3.61,0.16,0.24,0.07,0.16,0.13,1.92,0.84
Spanish_Cataluna,21.75,29.63,6.92,4,20.7,3.1,9.73,1.88,0.48,0.36,0.06,0.03,0.29,0.56,0.5
Spanish_Extremadura,19.86,28.49,4.72,3.6,21.52,3.09,10.75,4.67,0.39,0.01,0.01,0.36,0.1,1.48,0.95
Spanish_Galicia,23.22,24.88,6.54,3.91,21.78,2.42,8.93,4.48,0.88,0.19,0.13,0.12,0.03,1.52,0.96
Spanish_Murcia,19.87,29.93,4.85,3.06,20.83,2.52,11.69,3.13,0.27,0.61,0.39,0.5,0.12,1.57,0.67
Spanish_Valencia,17.55,32.77,6.17,3.66,21.94,2.78,10.99,1.9,0.63,0.12,0.04,0.21,0.33,0.45,0.45
Sudanese,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,48.93,51.04
Swedish,39.32,22.58,15.55,10.95,5.23,2.54,1.06,0.3,0.52,0.2,0.39,0.49,0.4,0.2,0.28
Syrian,2.29,3.76,1.82,0.94,9.82,20.38,38.31,13.74,3.3,0.2,0.19,0.11,0.36,3.2,1.59
Tabassaran,14.14,3.79,3.82,14.95,0.04,43.12,10.94,0.33,6.16,0.03,0.65,1.65,0.02,0.02,0.34
Tadjik,7.35,5.23,3.48,11.77,0.81,28.55,8.03,1.14,19.27,3.96,8.24,1.52,0.09,0.27,0.29
Tatar,14.44,10.7,16.22,22.17,2.71,9.6,1.41,0.73,2.41,2.97,14.22,1.72,0.19,0.11,0.4
Tibeto-Burman_Burmese,0.34,0.34,0.45,0.47,0.47,0.44,0.35,0.35,18.32,61.65,13.19,0.9,1.68,0.41,0.64
Tu,0.59,0.41,0.48,0.63,0.5,1.12,0.65,0.38,2.17,62.77,27.82,1.22,0.65,0.28,0.33
Tujia,0.05,0.04,0.05,0.07,0.05,0.06,0.05,0.04,0.33,81.96,16.03,0.48,0.52,0.13,0.14
Tunisian,0.94,11.73,1.47,0.06,20.07,1.69,27.17,15.05,0,0.17,0.29,0,0.34,10.52,10.48
Tunisian_Jewish,3.45,12.09,1.83,0.1,15.16,12.85,37.53,10.56,0.15,0.26,0.28,0.02,0.51,4.48,0.74
Turkish,3.25,7.28,2.98,4.13,7.79,29.4,28.81,5.62,4.36,2.02,3.28,0.32,0.42,0.3,0.03
Turkmen,4.07,3.12,2.51,9.67,2.44,27.87,19.24,2.77,13.66,5.3,7.47,1.11,0.03,0.49,0.25
Tuscan,14.3,20.09,6.44,2.92,19.82,10.04,20.77,4.75,0.26,0.01,0.08,0.01,0.22,0.21,0.08
Tuvinian,1.46,0.66,0.43,10.63,0.45,1.65,0.39,0.45,1.59,23.93,54.94,2.44,0.69,0.09,0.2
Ukrainian,22.35,14.2,27.31,18.61,7.81,3.9,2.75,0.42,0.78,0.46,0.58,0.54,0.16,0.09,0.05
Ukrainian_Belgorod,17.9,15.05,29.66,22.16,3.76,6.41,2.58,0.64,0.68,0.21,0.21,0.31,0.12,0.14,0.17
Ukrainian_Lviv,22.18,13.92,27.35,16.68,7.54,4.9,3.14,1.44,0.97,0.25,0.54,0.54,0.45,0.04,0.05
Uttar_Pradesh,1.8,2.51,1.6,4.44,1.35,8.46,0.92,0.81,72.24,2.53,1.25,0.68,0.91,0.28,0.22
Uygur,4.52,4.36,3.77,8.19,0.83,15.29,4.28,0.46,11.15,24.16,19.7,2.41,0.42,0.26,0.2
Uzbeki,4.23,2.75,5.26,9.85,1.24,16.04,6.59,1.12,12.7,15.83,22.23,1.47,0.17,0.3,0.2
Velamas,0.75,0.59,0.63,1.31,0.41,14.03,3.76,0.45,73.65,1.36,1.01,0.31,1.1,0.32,0.32
Vietnamese,0.21,0.08,0.22,0.28,0.11,0.16,0.14,0.16,4.39,87.54,4.92,0.32,1.12,0.2,0.15
West_German,34,21.84,10.46,8.06,11.13,5,6.33,1.02,0.73,0.11,0.18,0.35,0.36,0.31,0.12
West_Greenlander,2.1,0.95,2.56,10.5,0.08,0.25,0.05,0.04,2.3,7.03,37.5,36.41,0.11,0.07,0.04
West_Norwegian,42.41,24.22,12.26,10.67,6.09,2.26,0.63,0.08,0.13,0.23,0.4,0.57,0.03,0,0
West_Scottish,37.33,30.46,10.34,8.9,6.7,3.07,1.17,0.67,0.54,0.05,0.17,0.39,0.11,0.06,0.05
West_Sicilian,9.76,18.32,4.7,3.27,17.76,10.64,26.75,5.37,0.57,0.19,0.08,0.01,0.52,1.33,0.72
Xibo,0.46,0.29,0.29,0.59,0.37,0.59,0.43,0.25,0.74,56.12,37.91,1.07,0.46,0.26,0.17
Yakut,0.95,0.78,1.28,1.63,0.96,0.88,0.47,0.54,1.36,15.42,73.78,0.91,0.71,0.21,0.12
Yemenite_Jewish,0.27,1.05,0.16,0.11,4.4,5.41,54.12,27.46,0.48,0.06,0.1,0.08,0.18,6.11,0.01
Yizu,0.05,0.07,0.05,0.12,0.06,0.12,0.05,0.11,2.32,71.53,22.87,0.76,1.55,0.16,0.18
Yoruban,0.04,0.07,0.06,0.05,0.07,0.1,0.09,0.39,0.06,0.05,0.04,0.04,0.07,3,95.87